country,area,occupation_code,occupation,period,currency,unit,p25,median,p75,employment,wages_share_of_compensation_pct,median_with_benefits,source,series_ids
US,United States,SOC 41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",May 2025,USD,annual,47670,69990,100480,1256010,75.3,92950,BLS OEWS; BLS ECEC 2026 Q2,OEUN000000000000041309101;OEUN000000000000041309112;OEUN000000000000041309113;OEUN000000000000041309114
US,United States,SOC 41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",May 2025,USD,annual,75030,104920,158160,284800,75.3,139340,BLS OEWS; BLS ECEC 2026 Q2,OEUN000000000000041401101;OEUN000000000000041401112;OEUN000000000000041401113;OEUN000000000000041401114
US,United States,SOC 11-2022,Sales Managers,May 2025,USD,annual,100360,148270,207340,637080,67.5,219660,BLS OEWS; BLS ECEC 2026 Q2,OEUN000000000000011202201;OEUN000000000000011202212;OEUN000000000000011202213;OEUN000000000000011202214
US,"New York-Newark-Jersey City, NY-NJ",SOC 41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",May 2025,USD,annual,,93750,,,75.3,124500,BLS OEWS; BLS ECEC 2026 Q2,OEUM003562000000041309113
US,"New York-Newark-Jersey City, NY-NJ",SOC 11-2022,Sales Managers,May 2025,USD,annual,,215150,,,67.5,318740,BLS OEWS; BLS ECEC 2026 Q2,OEUM003562000000011202213
US,"San Francisco-Oakland-Fremont, CA",SOC 41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",May 2025,USD,annual,,96960,,,75.3,128760,BLS OEWS; BLS ECEC 2026 Q2,OEUM004186000000041309113
US,"San Francisco-Oakland-Fremont, CA",SOC 11-2022,Sales Managers,May 2025,USD,annual,,170810,,,67.5,253050,BLS OEWS; BLS ECEC 2026 Q2,OEUM004186000000011202213
US,"San Jose-Sunnyvale-Santa Clara, CA",SOC 41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",May 2025,USD,annual,,116510,,,75.3,154730,BLS OEWS; BLS ECEC 2026 Q2,OEUM004194000000041309113
US,"San Jose-Sunnyvale-Santa Clara, CA",SOC 11-2022,Sales Managers,May 2025,USD,annual,,201780,,,67.5,298930,BLS OEWS; BLS ECEC 2026 Q2,OEUM004194000000011202213
US,"Boston-Cambridge-Newton, MA-NH",SOC 41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",May 2025,USD,annual,,83420,,,75.3,110780,BLS OEWS; BLS ECEC 2026 Q2,OEUM001446000000041309113
US,"Boston-Cambridge-Newton, MA-NH",SOC 11-2022,Sales Managers,May 2025,USD,annual,,206610,,,67.5,306090,BLS OEWS; BLS ECEC 2026 Q2,OEUM001446000000011202213
US,"Seattle-Tacoma-Bellevue, WA",SOC 41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",May 2025,USD,annual,,82540,,,75.3,109610,BLS OEWS; BLS ECEC 2026 Q2,OEUM004266000000041309113
US,"Seattle-Tacoma-Bellevue, WA",SOC 11-2022,Sales Managers,May 2025,USD,annual,,184320,,,67.5,273070,BLS OEWS; BLS ECEC 2026 Q2,OEUM004266000000011202213
US,"Los Angeles-Long Beach-Anaheim, CA",SOC 41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",May 2025,USD,annual,,79450,,,75.3,105510,BLS OEWS; BLS ECEC 2026 Q2,OEUM003108000000041309113
US,"Los Angeles-Long Beach-Anaheim, CA",SOC 11-2022,Sales Managers,May 2025,USD,annual,,132330,,,67.5,196040,BLS OEWS; BLS ECEC 2026 Q2,OEUM003108000000011202213
US,"Chicago-Naperville-Elgin, IL-IN",SOC 41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",May 2025,USD,annual,,70710,,,75.3,93900,BLS OEWS; BLS ECEC 2026 Q2,OEUM001698000000041309113
